n_qubits,depth,entanglement_topology,cost_type,encoding_type,param_index,layer_id,param_grad_variance_across_seeds,log10_param_grad_variance
4,2,linear,global,angle,19,1,0.000264714984057086,-3.577221474984527
4,2,linear,global,angle,20,1,0.00022681851215162018,-3.6443215027015277
4,2,linear,global,angle,21,1,0.00019745266046271103,-3.704537010235917
4,2,linear,global,angle,22,1,0.00020250920304082324,-3.693555235466464
4,2,linear,global,angle,23,1,0.0002981031820533674,-3.525633388137638
4,2,circular,local,angle,0,0,0.0004776507277360364,-3.3208895562381175
4,2,circular,local,angle,1,0,0.0005464948478304513,-3.2624139280772284
4,2,circular,local,angle,2,0,0.0007144267868176521,-3.1460422703163187
4,2,circular,local,angle,3,0,0.0006572894443341679,-3.182243342166968
4,2,circular,local,angle,4,0,0.0009552065224919607,-3.0199027206864444
4,2,circular,local,angle,5,0,0.0006687376461445611,-3.1747442277906086
4,2,circular,local,angle,6,0,0.00055457651383714,-3.2560385266205985
4,2,circular,local,angle,7,0,0.0006710034669962267,-3.1732752358765515
4,2,circular,local,angle,8,0,0.00043342353261016664,-3.3630875124779296
4,2,circular,local,angle,9,0,0.0007079764888812387,-3.149981164511761
4,2,circular,local,angle,10,0,0.0004789537865751745,-3.3197063888894696
4,2,circular,local,angle,11,0,0.0006228027853663296,-3.205649453800574
4,2,circular,local,angle,12,1,0.000652652041253198,-3.18531829933763
4,2,circular,local,angle,13,1,0.0005607344981185859,-3.251242723941369
4,2,circular,local,angle,14,1,0.0006345116593299541,-3.1975603932128713
4,2,circular,local,angle,15,1,0.0006185275097417978,-3.208640979845092
4,2,circular,local,angle,16,1,0.0004153315520704226,-3.3816050749831374
4,2,circular,local,angle,17,1,0.0005789235267015665,-3.2373788009098736
4,2,circular,local,angle,18,1,0.0007499849586660361,-3.124947446520094
4,2,circular,local,angle,19,1,0.000780639085637734,-3.1075497079204735
4,2,circular,local,angle,20,1,0.0006688831633859005,-3.1746497356374745
4,2,circular,local,angle,21,1,0.0005822838660584033,-3.2348652431718636
4,2,circular,local,angle,22,1,0.0005971955069265097,-3.223883468402411
4,2,circular,local,angle,23,1,0.0008791002001369717,-3.055961621073585
4,2,circular,global,angle,0,0,0.00023882536386801812,-3.621919551902099
4,2,circular,global,angle,1,0,0.00027324742391522563,-3.5634439237412097
4,2,circular,global,angle,2,0,0.00035721339340882597,-3.4470722659803
4,2,circular,global,angle,3,0,0.0003286447221670839,-3.483273337830949
4,2,circular,global,angle,4,0,0.0004776032612459803,-3.3209327163504256
4,2,circular,global,angle,5,0,0.00033436882307228056,-3.47577422345459
4,2,circular,global,angle,6,0,0.00027728825691856996,-3.5570685222845797
4,2,circular,global,angle,7,0,0.00033550173349811336,-3.4743052315405327
4,2,circular,global,angle,8,0,0.00021671176630508326,-3.664117508141911
4,2,circular,global,angle,9,0,0.0003539882444406193,-3.4510111601757423
4,2,circular,global,angle,10,0,0.00023947689328758726,-3.6207363845534504
4,2,circular,global,angle,11,0,0.0003114013926831647,-3.506679449464556
4,2,circular,global,angle,12,1,0.0003263260206265989,-3.486348295001611
4,2,circular,global,angle,13,1,0.00028036724905929284,-3.5522727196053507
4,2,circular,global,angle,14,1,0.000317255829664977,-3.4985903888768526
4,2,circular,global,angle,15,1,0.0003092637548708988,-3.509670975509074
4,2,circular,global,angle,16,1,0.00020766577603521124,-3.6826350706471187
4,2,circular,global,angle,17,1,0.00028946176335078327,-3.538408796573855
4,2,circular,global,angle,18,1,0.00037499247933301793,-3.425977442184075
4,2,circular,global,angle,19,1,0.0003903195428188667,-3.408579703584455
4,2,circular,global,angle,20,1,0.0003344415816929502,-3.475679731301456
4,2,circular,global,angle,21,1,0.0002911419330292015,-3.5358952388358453
4,2,circular,global,angle,22,1,0.0002985977534632548,-3.524913464066392
4,2,circular,global,angle,23,1,0.0004395501000684857,-3.356991616737566
4,4,linear,local,angle,0,0,0.00016197152705235828,-3.7905613233021707
4,4,linear,local,angle,1,0,0.00018531659199786917,-3.732085695141282
4,4,linear,local,angle,2,0,0.00024226237061636627,-3.6157140373803722
4,4,linear,local,angle,3,0,0.0002228870780095101,-3.6519151092310214
